planet_name,planet_orbit,distance
GJ 3293 b,30.5987,20.1903
GJ 3293 c,122.6196,20.1903
GJ 3293 d,48.1345,20.1903
GJ 3293 e,13.2543,20.1903
GJ 3323 b,5.3636,5.37484
GJ 3323 c,40.54,5.37484
GJ 3341 b,14.207,23.619
GJ 338 B b,24.422,6.33256
GJ 3470 b,3.3366496,29.4214
GJ 3473 b,1.1980035,27.3644
GJ 3473 c,15.509,27.3644
GJ 3512 b,203.69,9.48637
GJ 3512 c,1599.6,9.48637
GJ 357 b,3.9306,9.44181
GJ 357 c,9.1247,9.44181
GJ 357 d,55.661,9.44181
GJ 3634 b,2.64561,20.3779
GJ 367 b,0.3219225,9.41263
GJ 367 c,11.5301,9.41263
GJ 367 d,34.369,9.41263
GJ 3779 b,3.0232,13.743
GJ 3929 b,2.616235,15.8095
GJ 3929 c,15.04,15.8095
GJ 393 b,7.02679,7.03149
GJ 3942 b,6.905,16.9287
GJ 3988 b,6.9442,9.9105
GJ 3998 b,2.64977,18.1459
GJ 3998 c,13.74,18.1459
GJ 411 b,12.9394,5.675773
GJ 414 A b,50.8,11.8893
GJ 414 A c,749.83,11.8893
GJ 422 b,20.129,12.6631
GJ 4276 b,13.352,21.3362
GJ 433 b,7.3705,9.06456
GJ 433 c,5094.105,9.06456
GJ 433 d,36.059,9.06456
GJ 436 b,2.64388312,9.75321
GJ 463 b,3448,18.3554
GJ 480 b,9.567,14.2358
GJ 486 b,1.46712127,8.07426
GJ 504 b,,17.5299
GJ 514 b,140.43,7.61778
GJ 536 b,8.7076,10.4092
GJ 581 b,5.3686,6.2981
GJ 581 c,12.914,6.2981
GJ 581 e,3.149,6.2981
GJ 625 b,14.628,6.47249
GJ 649 b,600.1,10.3796
GJ 667 C b,7.203,7.24396
GJ 667 C c,28.14,7.24396
GJ 667 C e,62.24,7.24396
GJ 667 C f,39.026,7.24396
GJ 667 C g,256.2,7.24396
GJ 674 b,4.6938,4.54896
GJ 676 A b,1051.44521,16.0272
GJ 676 A c,13921.42302,16.0272
GJ 676 A d,3.60076,16.0272
GJ 676 A e,35.47358,16.0272
GJ 680 b,17281.66514,9.67315
GJ 682 b,17.478,5.00671
GJ 682 c,57.32,5.00671
GJ 685 b,24.16,14.3155
GJ 687 b,38.142,4.54939
GJ 687 c,727.562,4.54939
GJ 720 A b,19.466,15.5575
GJ 724 b,5.101284,16.9658
GJ 740 b,2.37756,11.1017
GJ 806 b,0.9263237,12.0445
GJ 806 c,6.64064,12.0445
GJ 832 b,3853,4.96435
GJ 849 b,1925.31,8.80058
GJ 849 c,5990,8.80058
GJ 86 b,15.76491,10.7836
GJ 876 b,61.1166,4.67517
GJ 876 c,30.0881,4.67517
GJ 876 d,1.93778,4.67517
GJ 876 e,124.26,4.67517
GJ 887 b,9.262,3.29
GJ 887 c,21.789,3.29
GJ 896 A b,284.39,6.26022
GJ 900 b,,20.8065
GJ 9066 c,771.36,4.471
GJ 9404 b,13.4586,23.8839
GJ 96 b,73.94,11.9315
GJ 9689 b,18.27,30.6203
GJ 9714 b,19240.75467,20.5121
GJ 9827 b,1.208974,29.661
GJ 9827 c,3.648103,29.661
GJ 9827 d,6.20183,29.661
GPX-1 b,1.744579,655.013
GQ Lup b,,151.169
GSC 06214-00210 b,,108.5
GU Psc b,,47.5501
Gaia-1 b,3.052524,363.66
Gaia-2 b,3.6915224,209.229
Gaia22dkvL b,,1270
Gl 378 b,3.822,14.9545
Gl 49 b,13.8508,9.8528
Gl 686 b,15.53,8.15728
Gliese 12 b,12.761408,12.21
HAT-P-1 b,4.46529976,158.979
HAT-P-11 b,4.88780244,37.7647
HAT-P-11 c,3407,37.7647
HAT-P-12 b,3.2130598,142.751
HAT-P-13 b,2.91625,246.81
HAT-P-13 c,446.27,246.81
HAT-P-14 b,4.62767,222.663
HAT-P-15 b,10.8635,192.516
HAT-P-16 b,2.77596,226.637
HAT-P-17 b,10.33852,92.3831
HAT-P-17 c,5584,92.3831
HAT-P-18 b,5.508023,161.4
HAT-P-19 b,4.00878322,202.078
HAT-P-2 b,5.6335158,127.774
HAT-P-2 c,8500,127.774
HAT-P-20 b,2.875317,71.0374
HAT-P-21 b,4.12448,277.278
HAT-P-22 b,3.21222,81.7647
HAT-P-23 b,1.212884,364.813
HAT-P-24 b,3.35524,415.344
HAT-P-25 b,3.65281514,300.384
HAT-P-26 b,4.23452,141.837
HAT-P-27 b,3.039577,199.173
HAT-P-28 b,3.257215,401.319
HAT-P-29 b,5.72319,313.576
HAT-P-3 b,2.8997,134.554
HAT-P-30 b,2.8106,213.985
HAT-P-31 b,5.00542,344.05
HAT-P-32 b,2.1500082,289.205
HAT-P-33 b,3.47447,396.11
HAT-P-34 b,5.452654,249.325
HAT-P-35 b,3.646706,506.965
HAT-P-36 b,1.32734683,294.419
HAT-P-37 b,2.797436,390.594
HAT-P-38 b,4.640382,255.206
HAT-P-39 b,3.54387,697.004
HAT-P-4 b,3.056536,320.451
HAT-P-40 b,4.45724,464.469
HAT-P-41 b,2.69405,348.185
HAT-P-42 b,4.641878,405.238
HAT-P-43 b,3.3326414,528.825
HAT-P-44 b,4.301219,347.85
HAT-P-44 c,872.2,347.85
HAT-P-45 b,3.128992,298.64
HAT-P-46 b,4.463129,290.736
HAT-P-49 b,2.69155,350.351
HAT-P-5 b,2.78849,303.336
HAT-P-50 b,3.1220109,515.458
HAT-P-51 b,4.21802091,440.089
HAT-P-52 b,2.7535953,361.155
HAT-P-53 b,1.9616241,666.802
HAT-P-54 b,3.799847,143.651
HAT-P-55 b,3.5852313,511.388
HAT-P-56 b,2.79083,320.639
HAT-P-57 b,2.4653,279.86
HAT-P-58 b,4.0138379,515.59
HAT-P-59 b,4.1419771,265.471
HAT-P-6 b,3.85298,275.358
HAT-P-60 b,4.7947813,233.22
HAT-P-61 b,1.90231289,338.84
HAT-P-62 b,2.6453235,348.815
HAT-P-63 b,3.377728,403.458
HAT-P-64 b,4.007232,651.897
HAT-P-65 b,2.60544751,738.519
HAT-P-66 b,2.972086,935.456
HAT-P-67 b,4.8101025,371.686
HAT-P-68 b,2.29840551,202.152
HAT-P-69 b,4.7869491,341.263
HAT-P-7 b,2.20474,341.079
HAT-P-70 b,2.74432452,330.739
HAT-P-8 b,3.07634,211.553
HAT-P-9 b,3.92281072,455.203
HATS-1 b,3.446459,283.971
HATS-10 b,3.312846,534.889
HATS-11 b,3.619188,944.603
HATS-12 b,3.142702,746.138
HATS-13 b,3.0440499,421.855
HATS-14 b,2.7667641,513.011
HATS-15 b,1.74748753,1139.55
HATS-16 b,2.686502,757.044
HATS-17 b,16.254611,400.331
HATS-18 b,0.83784,624.368
HATS-2 b,1.35413379,341.925
HATS-22 b,4.7228124,229.518
HATS-23 b,2.1605156,639.004
HATS-24 b,1.3484978,494.182
HATS-25 b,4.2986432,471.158
HATS-26 b,3.3023881,861.843
HATS-27 b,4.637038,816.988
HATS-28 b,3.1810781,535.383
HATS-29 b,4.6058749,353.891
HATS-3 b,3.547851,411.211
HATS-30 b,3.1743516,342.14
HATS-31 b,3.37796,773.974
HATS-32 b,2.8126548,745.116
HATS-33 b,2.5495551,248.46
HATS-34 b,2.1061607,508.842
HATS-35 b,1.8209993,514.555
HATS-36 b,4.175186,856.436
HATS-37 A b,4.3315366,211.896
HATS-38 b,4.375021,343.525
HATS-39 b,4.5776348,878.521
HATS-4 b,2.516729,416.459
HATS-40 b,3.2642736,1342.29
HATS-41 b,4.193649,737.668
HATS-42 b,2.292102,800.377
HATS-43 b,4.3888497,362.273
HATS-44 b,2.7439004,446.035
HATS-45 b,4.1876244,772.11
HATS-46 b,4.7423729,453.808
HATS-47 b,3.9228038,300.67
HATS-48 A b,3.1316666,263.609
HATS-49 b,4.1480467,324.413
HATS-5 b,4.763387,246.384
HATS-50 b,3.8297015,756.742
HATS-51 b,3.3488702,389.57
HATS-52 b,1.36665436,555.134
HATS-53 b,3.8537768,585.77
HATS-54 b,2.5441765,748.585
HATS-55 b,4.2042001,609.838
HATS-56 b,4.324799,564.409
HATS-57 b,2.350621,279.485
HATS-58 A b,4.2180896,403.591
HATS-59 b,5.416081,642.884
HATS-59 c,1422,642.884
HATS-6 b,3.3252725,169.318
HATS-60 b,3.560829,486.474
HATS-61 b,7.817953,679.761
HATS-62 b,3.2768837,523.067
HATS-63 b,3.0566527,623.232
HATS-64 b,4.908897,1080.15
HATS-65 b,3.105161,493.32
HATS-66 b,3.1414391,1477.98
HATS-67 b,1.6091788,960.109
HATS-68 b,3.5862202,603.955
HATS-69 b,2.2252577,414.537
HATS-7 b,3.185315,240.707
HATS-70 b,1.8882378,1458.83
HATS-71 b,3.7955202,140.225
HATS-72 b,7.3279474,127.589
HATS-74 A b,1.73185606,299.389
HATS-75 b,2.7886556,194.964
HATS-76 b,1.9416423,385.689
HATS-77 b,3.0876262,436.176
HATS-8 b,3.583893,794.637
HATS-9 b,1.915291,638.7
HD 100546 b,,109.677
HD 100655 b,157.57001,137.178
HD 100777 b,383,49.5336
HD 10180 c,5.75969,38.9607
HD 10180 d,16.357,38.9607
HD 10180 e,49.748,38.9607
HD 10180 f,122.744,38.9607
HD 10180 g,604.67,38.9607
HD 10180 h,2205,38.9607
HD 101930 b,70.46,30.0274
HD 102117 b,20.8133,39.5792
HD 102195 b,4.11377,29.3386
HD 102272 b,127.58,347.097
HD 102329 b,778.09998,217.107
